Nr,Date,Time,f [Hz],Signal,Noise
82,2023-06-09,17:01:42.091,1004.1844017468622,761881.4311608869,3897.700300710677
82,2023-06-09,17:01:42.099,1007.4937134936766,1127854.9038702073,4228.288543421191
82,2023-06-09,17:01:42.114,1004.5526038055252,1313822.97730385,4907.422088020514
82,2023-06-09,17:01:42.128,1003.8776897773282,1000943.9713698342,4673.561961342641
82,2023-06-09,17:01:42.143,1005.7270045648953,541300.0326011111,2541.7610952755795
82,2023-06-09,17:01:42.158,1004.0479816002049,606249.9699642304,3151.2748905529197
82,2023-06-09,17:01:42.166,1005.3826629611359,742305.8429861143,4908.1772552512675
82,2023-06-09,17:01:42.173,1004.6198775112562,591484.7075684355,2588.312427787092
82,2023-06-09,17:01:42.181,1005.0669686477127,628103.1137014108,3822.8771612211867
82,2023-06-09,17:01:42.188,1007.1087769632569,670162.5824623997,6229.491304356784
82,2023-06-09,17:01:42.199,1007.000913628374,526510.6104731633,4712.871553368355
82,2023-06-09,17:01:42.209,1006.7376820196765,206742.357649537,5118.94570126381
82,2023-06-09,17:01:42.219,1007.3051511156781,177187.19538499622,4298.257508665842
82,2023-06-09,17:01:42.230,-1.0,0,6002.666843811921
83,2023-06-09,17:01:50.544,916.7259092986437,54060.607435191196,4364.928052372521
83,2023-06-09,17:01:50.551,931.7708519250186,65461.54950085843,5034.90084368335
83,2023-06-09,17:01:50.558,-1.0,0,5787.860051699831
83,2023-06-09,17:01:50.566,974.0301597705512,113782.38120373464,3795.5492864227326
83,2023-06-09,17:01:50.573,994.0874031308919,335100.64146373724,5532.265152891656
83,2023-06-09,17:01:50.581,1004.046942200983,673604.6301321522,5224.82680533581
83,2023-06-09,17:01:50.588,1009.1682038130577,914127.9247314483,4539.062471997312
83,2023-06-09,17:01:50.604,1015.4027998535839,297926.33652214764,7122.731383245971
83,2023-06-09,17:01:50.619,-1.0,0,4033.022158054162
84,2023-06-09,17:02:08.045,-1.0,0,4735.227797556197
84,2023-06-09,17:02:08.060,914.2621679409356,1295850.8380140858,6721.182374303808
84,2023-06-09,17:02:08.067,940.6696914136627,3909546.7930987156,4596.911184209082
84,2023-06-09,17:02:08.074,965.8799788446872,8445953.207678204,3059.4452481616045
84,2023-06-09,17:02:08.082,990.5215395910939,13112930.554263357,662.1735494286999
84,2023-06-09,17:02:08.089,1008.8318656362904,16258378.63391155,280.3644929150458
84,2023-06-09,17:02:08.101,1014.2150803165018,15651600.140117446,156.11288061746598
84,2023-06-09,17:02:08.114,1011.9396253927576,16262081.430770565,315.41335925381935
84,2023-06-09,17:02:08.126,1011.77917236352,16272457.895642582,320.6363125377675
84,2023-06-09,17:02:08.138,1011.3331741408649,16269032.528545117,320.42309560170645
84,2023-06-09,17:02:08.146,1010.9194088630559,16188147.372085951,375.23376276774013
84,2023-06-09,17:02:08.154,1010.9237751680646,15965148.700066533,488.1113726031014
84,2023-06-09,17:02:08.161,1010.9486700944395,15725977.869149853,649.9992141886117
84,2023-06-09,17:02:08.169,1010.6302277173045,15504652.250693094,728.4868410620735
84,2023-06-09,17:02:08.179,1010.6571502533793,15094271.859576723,888.8125756554169
84,2023-06-09,17:02:08.189,1010.7301975912304,14419699.706794051,1497.7611053693095
84,2023-06-09,17:02:08.198,1010.6294058271466,13967232.117579594,1517.8746772808663
84,2023-06-09,17:02:08.208,1010.8595108639435,13352477.175917136,1556.3763056260045
84,2023-06-09,17:02:08.226,1010.7484240659395,12913080.920138381,2426.4874212295877
84,2023-06-09,17:02:08.243,1010.5850055746328,11920780.80594407,4008.6921668498153
84,2023-06-09,17:02:08.261,1010.6090883464836,11167488.532499291,2732.890742565196
84,2023-06-09,17:02:08.278,1010.4647947392026,10850323.050346782,4341.337419686818
84,2023-06-09,17:02:08.286,1010.293839224742,9691381.52932447,3072.182068576889
84,2023-06-09,17:02:08.294,1009.596779523553,7991563.206268344,2925.089270869259
84,2023-06-09,17:02:08.302,1011.0186895363918,7184424.634524103,5360.893893707308
84,2023-06-09,17:02:08.310,1009.5051480097013,6675811.317170536,2996.751650740375
84,2023-06-09,17:02:08.317,1009.9332656807388,5470346.4706447795,2844.0036282388373
84,2023-06-09,17:02:08.324,1009.2900133302047,4449135.026103931,2519.297903376284
84,2023-06-09,17:02:08.331,1009.975595311774,3705722.953894445,5744.740666779246
84,2023-06-09,17:02:08.339,1010.9166835288938,2845354.2981767734,3852.301050819559
84,2023-06-09,17:02:08.351,1009.8992378553135,1988702.0630965615,3666.189775046666
84,2023-06-09,17:02:08.364,1010.0135190544419,1706921.6804002658,5978.450482828819
84,2023-06-09,17:02:08.376,1011.7344443577797,1663058.2556312522,4551.675878386001
84,2023-06-09,17:02:08.389,1010.2891205062107,1499328.1642064743,6310.911345573586
84,2023-06-09,17:02:08.404,1010.5649514503418,1016014.1637437845,3529.8376013839397
84,2023-06-09,17:02:08.419,1010.5575837317537,1069510.2225014984,3780.6600954085216
84,2023-06-09,17:02:08.434,1008.9049454950062,595179.7211220957,5657.297322390413
84,2023-06-09,17:02:08.449,1011.0490363624303,387436.78958726965,5469.482071357353
84,2023-06-09,17:02:08.456,1011.9481976359075,360927.87112541095,3662.0605970189645
84,2023-06-09,17:02:08.464,1009.0137893107039,378035.60349372134,4670.825513217734
84,2023-06-09,17:02:08.472,1013.6633440033733,373503.87100690324,4117.816154056463
84,2023-06-09,17:02:08.479,1008.2900891695028,400419.97226105287,6392.3478157082245
84,2023-06-09,17:02:08.487,1012.5206658951113,457520.8539768491,4546.767896066342
84,2023-06-09,17:02:08.494,1008.7916504322645,422372.19357726956,5480.5461755559045
84,2023-06-09,17:02:08.502,1010.8735999934681,395376.8659232757,3956.574455957285
84,2023-06-09,17:02:08.509,1010.2924351661951,387930.26168706646,3228.8116140694497
84,2023-06-09,17:02:08.524,1009.6382268386458,332166.73616568255,4531.218795290387
84,2023-06-09,17:02:08.539,1010.2748491251183,208377.15830834216,6433.899664026055
84,2023-06-09,17:02:08.554,-1.0,0,6838.483008316087
84,2023-06-09,17:02:08.569,1008.7780939138727,147006.26653396816,4395.117052942795
84,2023-06-09,17:02:08.577,1015.4368690882525,161623.51955285025,3592.977258930733
84,2023-06-09,17:02:08.584,1014.3836106786669,156527.99002596343,4274.896865041639
85,2023-06-09,17:02:33.539,-1.0,0,3545.2458124595596
85,2023-06-09,17:02:33.554,999.467025549888,230670.07096835395,3005.199342272264
85,2023-06-09,17:02:33.569,997.324121177841,510271.8895850499,4382.918338401717
85,2023-06-09,17:02:33.576,1001.7803325541223,795777.5818410633,3655.4833034150874
85,2023-06-09,17:02:33.584,1004.3264777145232,949604.9798875941,3514.977635399593
85,2023-06-09,17:02:33.591,999.9009870230254,919078.6030126598,5334.096978220736
85,2023-06-09,17:02:33.599,998.0316757786293,953702.907220529,4479.314109185709
85,2023-06-09,17:02:33.614,994.9273584514035,886719.0742866118,2280.080865554184
85,2023-06-09,17:02:33.629,999.9216104198941,830725.931056011,5261.960896510204
85,2023-06-09,17:02:33.644,1000.6765572606422,645235.5270717443,6727.288771384619
85,2023-06-09,17:02:33.659,999.3554175715373,349676.5625929593,4854.432680245434
85,2023-06-09,17:02:33.667,991.5335569309922,370391.5901728836,3013.967140389118
85,2023-06-09,17:02:33.674,989.4729008983804,289719.9941655212,2328.5587180978805
85,2023-06-09,17:02:33.681,1003.5801841546123,220516.424616533,4766.111566990923
85,2023-06-09,17:02:33.689,1000.1535200790934,214530.75403324206,3562.082716077119
85,2023-06-09,17:02:33.704,990.0654532166958,247300.54930260548,4068.910534749486
85,2023-06-09,17:02:33.719,1002.4051115738839,182905.44160439848,3637.1990411869265
85,2023-06-09,17:02:33.735,1003.6215025928088,137559.61370016745,2569.743478307511
85,2023-06-09,17:02:33.750,998.3639814540854,90741.44525389977,3145.4776623887556
85,2023-06-09,17:02:33.757,-1.0,0,3023.623180738431
85,2023-06-09,17:02:33.765,-1.0,0,2813.3831988942106
85,2023-06-09,17:02:33.772,1003.4649405769891,241688.42542310304,4490.874416742583
85,2023-06-09,17:02:33.780,1004.4371144363441,348138.69355274574,7203.9521398663055
85,2023-06-09,17:02:33.787,1002.4925702366594,509863.5946461777,3320.981473895554
85,2023-06-09,17:02:33.794,999.3186142142303,866845.6871368199,5073.988852602474
85,2023-06-09,17:02:33.802,999.3078649730304,956509.8475678317,4310.289307079644
85,2023-06-09,17:02:33.809,999.3640081283833,1174706.6815228881,4060.760815408753
85,2023-06-09,17:02:33.821,1000.14148002809,1227705.2218285704,3099.9849181395175
